Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Occupied,Parc_Prop_Assmt,Parc_Minimum_Bid,Parc_BrownField,Zoning,Showings week,Website Publish End Date,Parc_Year_Built,Legal Description,FH_Cleanout,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4636278002,"356 E FLINT PARK BLV
FLINT, MI 48505",402,2007,,500,2442.17,A,,06/21/2023,,,FLINT PARK ALLOTMENT LOT 211.,x,07/03/2023,5000,,,,,,,
4625204032,"357 E ALMA AVE
FLINT, MI 48505",401,2022,No,4700,2218.53,A,,,02/08/2026,1950,ARDMORE LOT 176,,,5000,0,,,Reviewing Offers,Bundle-Occupied/Sell,,
4636280022,"359 E STEWART AVE
FLINT, MI 48505",401,2019,No,3800,4813.29,A,,07/15/2022,08/30/2024,1924,FLINT PARK ALLOTMENT LOT 162,x,07/25/2022,1500,0,,,Re-R4R,,,
4636278003,"360 E FLINT PARK BLVD
FLINT, MI 48505",401,2019,No,3900,2285.7,A,,06/21/2023,11/14/2024,1955,FLINT PARK ALLOTMENT LOT 210.,x,07/03/2023,4000,0,,,Re-R4R,,,
4635382019,"3609 COMSTOCK AVE
FLINT, MI 48504",401,2014,No,13000,4123.7,A,,07/21/2022,01/11/2025,1949,WOODWARD SQUARE LOT 151.,x,08/02/2022,3000,0,,,Re-R4R,,,
4636455027,"3609 WESLEY ST
FLINT, MI 48505",402,2013,,6300,8352.44,A,,,,,PASADENA LOT 506.,,,,0,,,,Vacant Lot,,
4636455025,"3613 WESLEY ST
FLINT, MI 48505",401,2015,No,12200,0,A,,,07/12/2025,1925,PASADENA LOT 505.,,,7000,0,,,Re-R4R,,,
4635359018,"3617 KELLAR AVE
FLINT, MI 48504",401,2019,No,3100,6952.4,A,,,,1926,WASENA SUBDIVISION LOT 374,,,2500,0,,,Hold,,,
4636376027,"3617 MASON ST
FLINT, MI 48505",401,2008,No,40700,4174.84,A,,,07/12/2025,1950,DEWEY WOODS ADDITION LOT 34 EXC NLY 4.25 FT; ALSO NLY 2 FT OF LOT 35.,,,5000,890000,,,Re-R4R,,,
4635359017,"3621 KELLAR AVE
FLINT, MI 48504",402,2019,,1200,1428.83,A,,,,,WASENA SUBDIVISION LOT 375,,,,0,,,,Vacant Lot,,
